"schema","table_name","policy_name","permissive","roles","cmd","qual","with_check","classification","expected","difference"
"public","menu_templates","menu_templates_insert_for_managers","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(owner_clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menu_templates","menu_templates_select_for_managers","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(owner_clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menu_templates","menu_templates_update_for_managers","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(owner_clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(owner_clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menus","menus_delete_for_admin","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menus","menus_insert_for_managers","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menus","menus_select_for_managers","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menus","menus_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id) AND (is_active = true) AND (is_deleted = false))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menus","menus_update_for_managers","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","mfa_setup_sessions","Users can manage own MFA setup sessions","PERMISSIVE","{authenticated}","ALL","(( SELECT auth.uid() AS uid) = user_id)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","mfa_usage_stats","mfa_usage_stats_select_policy","PERMISSIVE","{authenticated}","SELECT","((( SELECT app_private.get_current_role() AS get_current_role) = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","notifications","Users can update their own notifications","PERMISSIVE","{authenticated}","UPDATE","(( SELECT auth.uid() AS uid) = user_id)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","notifications","Users can view their own notifications","PERMISSIVE","{authenticated}","SELECT","((( SELECT app_private.get_current_role() AS get_current_role) <> ''::text) AND ((( SELECT auth.uid() AS uid) = user_id) OR ((clinic_id IS NOT NULL) AND (( SELECT app_private.get_current_role() AS get_current_role) = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","onboarding_states","onboarding_states_self_delete","PERMISSIVE","{authenticated}","DELETE","(user_id = ( SELECT auth.uid() AS uid))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","onboarding_states","onboarding_states_self_insert","PERMISSIVE","{authenticated}","INSERT",,"(user_id = ( SELECT auth.uid() AS uid))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","onboarding_states","onboarding_states_self_select","PERMISSIVE","{authenticated}","SELECT","(user_id = ( SELECT auth.uid() AS uid))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","onboarding_states","onboarding_states_self_update","PERMISSIVE","{authenticated}","UPDATE","(user_id = ( SELECT auth.uid() AS uid))","(user_id = ( SELECT auth.uid() AS uid))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patient_outreach_campaigns","patient_outreach_campaigns_insert_scoped","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patient_outreach_campaigns","patient_outreach_campaigns_select_scoped","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patient_outreach_campaigns","patient_outreach_campaigns_update_scoped","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patient_outreach_recipients","patient_outreach_recipients_insert_scoped","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patient_outreach_recipients","patient_outreach_recipients_select_scoped","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patient_outreach_recipients","patient_outreach_recipients_update_scoped","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patients","patients_delete_for_managers","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patients","patients_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","patients","patients_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","profiles","profiles_admin_select","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","profiles","profiles_self_select","PERMISSIVE","{authenticated}","SELECT","(user_id = ( SELECT auth.uid() AS uid))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","profiles","profiles_self_update","PERMISSIVE","{authenticated}","UPDATE","(user_id = ( SELECT auth.uid() AS uid))","(user_id = ( SELECT auth.uid() AS uid))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","registered_devices","registered_devices_admin_select","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","registered_devices","registered_devices_self_all","PERMISSIVE","{authenticated}","ALL","((( SELECT auth.uid() AS uid) = user_id) AND app_private.can_access_clinic(clinic_id))","((( SELECT auth.uid() AS uid) = user_id) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservation_history","reservation_history_delete_for_admin","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND (EXISTS ( SELECT 1
   FROM reservations r
  WHERE ((r.id = reservation_history.reservation_id) AND app_private.can_access_clinic(r.clinic_id)))))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservation_history","reservation_history_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND (EXISTS ( SELECT 1
   FROM reservations r
  WHERE ((r.id = reservation_history.reservation_id) AND app_private.can_access_clinic(r.clinic_id)))))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservation_history","reservation_history_update_for_admin","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND (EXISTS ( SELECT 1
   FROM reservations r
  WHERE ((r.id = reservation_history.reservation_id) AND app_private.can_access_clinic(r.clinic_id)))))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservations","reservations_delete_for_managers","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservations","reservations_insert_for_staff","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservations","reservations_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","reservations","reservations_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","resources","resources_delete_for_admin","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","resources","resources_insert_for_managers","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","resources","resources_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","resources","resources_update_for_managers","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_contexts","revenue_contexts_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimate_lines","revenue_estimate_lines_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimate_lines","revenue_estimate_lines_write_for_staff","PERMISSIVE","{authenticated}","ALL","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimate_overrides","revenue_estimate_overrides_insert_for_staff","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimate_overrides","revenue_estimate_overrides_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimate_warnings","revenue_estimate_warnings_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimate_warnings","revenue_estimate_warnings_write_for_staff","PERMISSIVE","{authenticated}","ALL","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_write_for_staff","PERMISSIVE","{authenticated}","ALL","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_select_admin","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_update_admin","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_admin_select","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin())))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_admin_update","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin())))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_self_select","PERMISSIVE","{authenticated}","SELECT","((( SELECT auth.uid() AS uid) = user_id) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin())))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","session_policies","session_policies_admin_all","PERMISSIVE","{authenticated}","ALL","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","session_policies","session_policies_staff_select","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_audit_logs","shift_request_audit_logs_select_scoped","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_insert_managers","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_select_scoped","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_update_managers","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","(app_private.can_access_clinic(clinic_id) AND ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text])) OR ((app_private.get_current_role() = 'clinic_admin'::text) AND (status = ANY (ARRAY['draft'::text, 'open'::text, 'closed'::text])))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_insert_scoped","PERMISSIVE","{authenticated}","INSERT",,"(((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id)) OR ((app_private.get_current_role() = ANY (ARRAY['therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id) AND (staff_id = ( SELECT auth.uid() AS uid)) AND (submitted_by = ( SELECT auth.uid() AS uid)) AND (submitted_for_role = app_private.get_current_role())))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_select_scoped","PERMISSIVE","{authenticated}","SELECT","(((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id)) OR ((app_private.get_current_role() = ANY (ARRAY['therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id) AND (staff_id = ( SELECT auth.uid() AS uid))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_update_scoped","PERMISSIVE","{authenticated}","UPDATE","(((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id)) OR ((app_private.get_current_role() = ANY (ARRAY['therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id) AND (staff_id = ( SELECT auth.uid() AS uid))))","(((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id)) OR ((app_private.get_current_role() = 'clinic_admin'::text) AND app_private.can_access_clinic(clinic_id) AND (status <> 'converted'::text)) OR ((app_private.get_current_role() = ANY (ARRAY['therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id) AND (staff_id = ( SELECT auth.uid() AS uid)) AND (status = ANY (ARRAY['draft'::text, 'submitted'::text, 'rejected'::text, 'withdrawn'::text])) AND (converted_shift_id IS NULL)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff","staff_delete_for_managers","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff","staff_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff","staff_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_select_scoped","PERMISSIVE","{authenticated}","SELECT","app_private.can_access_clinic(clinic_id)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_clinic_admin_select","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_creator_delete","PERMISSIVE","{authenticated}","DELETE","((created_by = ( SELECT auth.uid() AS uid)) AND app_private.can_access_clinic(clinic_id) AND (app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_creator_insert","PERMISSIVE","{authenticated}","INSERT",,"((created_by = ( SELECT auth.uid() AS uid)) AND app_private.can_access_clinic(clinic_id) AND (app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_creator_select","PERMISSIVE","{authenticated}","SELECT","((created_by = ( SELECT auth.uid() AS uid)) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_creator_update","PERMISSIVE","{authenticated}","UPDATE","((created_by = ( SELECT auth.uid() AS uid)) AND app_private.can_access_clinic(clinic_id) AND (app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])))","((created_by = ( SELECT auth.uid() AS uid)) AND app_private.can_access_clinic(clinic_id) AND (app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_delete_for_managers","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_insert_for_staff","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_delete","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_insert_policy","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_select","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_update","PERMISSIVE","{authenticated}","UPDATE","(app_private.can_access_clinic(clinic_id) AND ((staff_id = ( SELECT auth.uid() AS uid)) OR (app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text]))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_profiles","staff_profiles_select_scoped","PERMISSIVE","{authenticated}","SELECT","((( SELECT app_private.get_current_role() AS get_current_role) <> ''::text) AND (user_id = ( SELECT auth.uid() AS uid)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_delete","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_insert","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
